print_order,type,label,color,use_prefix,description,long_description
1,status,help wanted,#DCECC7,FALSE,Looking for Contributors,"Issue reviewed by Maintainers, and ready to be addressed. Maintainers are looking for Contributors to address this issue, anyone is welcome to work on addressing the issue.  Issues with this label will be listed on <a href=""https://carpentries.org/help-wanted-issues/#for-maintainers"">the Help Wanted page of The Carpentries website</a>."
2,status,in progress,#9BCC65,TRUE,Contributor working on issue,"A Contributor is actively working on addressing the issue, this label should be used once someone has been assigned the issue. Because, we can only assign people using GitHub's interface when they are part of the organization, the assignment is done by tagging them in a comment of the issue. The Maintainer should set an initial deadline for a PR to be submitted. We suggest 7 days, but it can be adapted to the discretion of the Maintainer depending on the complexity of the task."
3,status,waiting for response,#679F38,TRUE,Waiting for Contributor to respond to maintainers' comments or update PR,Maintainers responded to the Contributor's inquiry and are either waiting on the Contributor to reply back or implement proposed changes.
4,status,wait,#FFF2DF,TRUE,Progress dependent on another issue or conversation,Progress on addressing issue or merging PR is dependent on another issue or ongoing conversation and cannot be addressed at this time. Ideally this other conversation should be referenced in the comments.
5,status,refer to cac,#FFDFB2,TRUE,Curriculum Advisory Committee input needed,Maintainers need advice from the Curriculum Advisory Committee to make a decision on how to proceed with the issue or pull request.
6,status,need more info,#EE6C00,TRUE,More information needed,Not enough information is provided to proceed with the issue or pull request.
7,status,blocked,#E55100,TRUE,Progress on addressing issue blocked,A technical problem is hindering progress. A Maintainer or someone else in the community should be notified to ensure that progress is being made.
8,status,out of scope,#EEEEEE,TRUE,Proposed changes are out of scope,Changes proposed in the issue or in the pull request doesn't fall within the scope of the lesson
9,status,duplicate,#BDBDBD,TRUE,Issue or PR already exists,The concern raised in the issue or pull request has already been mentioned. This previous issues/PR should be mentioned in the comment before this label is used.
10,type,typo text,#F8BAD0,TRUE,Typo in text for the lesson,Typo in the text/code of the lesson
11,type,bug,#EB3F79,TRUE,Code included in the lesson needs to be fixed,"Issue about the code, including challenges, answers."
12,type,formatting,#AC1357,TRUE,Formatting needs to be fixed,Issue about something being wrong in the formatting of the lesson
13,type,template and tools,#7985CB,TRUE,Issue about template and tools,"Issue or feature request about a technical aspect of the lesson (e.g., in the scripts used to render the lesson), including the documentation of these tools. Pull requests should probably be directed to https://github.com/carpentries/styles "
14,type,instructor guide,#00887A,TRUE,Issue with the instructor guide,Issue related to the content of the instructor guide. Best suited to be addressed by someone familiar with the content of the lesson
15,type,discussion,#B2E5FC,TRUE,Discussion or feedback about the lesson,"Issue used to ask a question about how the lesson is taught, ask for clarification. Such issues might indicate that the instructor guide or the documentation may need to be updated."
16,type,enhancement,#7FDEEA,TRUE,Propose enhancement to the lesson,"Proposal to add new content to the lesson (e.g., introducing additional function, library, command, flag), or adding more technical detail on a topic already covered in the lesson. Such issues may need to be considered by the infrastructure sub-committee, the curriculum advisory committee, or other relevant group."
17,type,clarification,#00ACC0,TRUE,Suggest change for make lesson clearer,"Part of a lesson which, while not incorrect (i.e., not a bug) is presented in a way that is potentially confusing or misleading. Existing content could benefit from rephrasing or rearranging."
18,type,teaching example,#CED8DC,TRUE,PR showing how lesson was modified in a workshop,"PR that illustrates how someone modified the lesson in their workshop. Not intended to be merged, but as a way to document how other instructors have used the lesson. Can be closed once the label has been applied."
19,type,accessibility,#2F1D46,TRUE,improve content compatibility with assistive technology as well as unassisted access,"PR with suggested accessibility improvements or issue used to ask a question or draw attention to an accessibility issue that needs to be addressed in the lesson content or across other Carpentries resources."
20,type,invalid,#CCCCCC,FALSE,PR considered as spam.,"Mostly around Hacktoberfest repositories receive spammy pull requests (insignificant, useless, or unnecessary changes). Tagging PRs with this label ensures that these PRs are not counted toward Hacktoberfest."
21,difficulty,good first issue,#FFEB3A,FALSE,Good issue for first-time contributors,Good issue for a new Contributor to our lesson.
22,priority,high priority,#D22E2E,FALSE,Need to be addressed ASAP,For issues and pull requests that needs to be addressed as soon as possible because the lesson uses code that doesn’t work anymore or includes information that is out of date.
